match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
5009586881,10/7/2025,2025,Nepal Women tour of Malaysia,FALSE,,Malaysia,Nepal,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,bat,Nepal,unknown,T20,Malaysia,111,5,22,Nepal,115,4,18.3,2025,10,Malaysia,Nepal,111,115,completed,1622.353024,1594.93641,27.41661423,0.8,0.4,0.9,0.55,0.315789474
-379430124,10/8/2025,2025,Nepal Women tour of Malaysia,FALSE,,Malaysia,Nepal,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,bat,Nepal,unknown,T20,Malaysia,103,7,21,Nepal,104,5,18.7,2025,10,Malaysia,Nepal,103,104,completed,1605.093057,1612.196378,-7.103320879,0.6,0.4,0.8,0.6,0.3
4245950589,10/8/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Samoa,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,field,Oman,unknown,T20,Samoa,92,9,20.7,Oman,96,5,18,2025,10,Samoa,Oman,92,96,completed,1386.198388,1526.595394,-140.3970057,0.6,0.4,0.3,0.4,0.5
-627013341,10/8/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Nepal,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,field,Nepal,unknown,T20,Nepal,141,7,20.2,Kuwait,83,10,18.7,2025,10,Nepal,Kuwait,141,83,completed,1627.869303,1488.751832,139.1174714,0.4,0.2,0.6,0.3,0.875
-572449776,10/8/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Qatar,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Qatar,bat,United Arab Emirates,unknown,T20,Qatar,118,8,21,United Arab Emirates,119,3,19,2025,10,Qatar,United Arab Emirates,118,119,completed,1478.894475,1684.276717,-205.3822422,0.5,0.6,0.25,0.5,0
-433652902,10/9/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Papua New Guinea,Samoa,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,bat,Samoa,unknown,T20,Papua New Guinea,117,10,20.3,Samoa,118,5,19,2025,10,Papua New Guinea,Samoa,117,118,completed,1634.295848,1376.333546,257.9623021,0.8,0.4,0.9,0.3,0.8
-410344484,10/9/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Kuwait,Japan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Japan,field,Japan,unknown,T20,Kuwait,177,6,22,Japan,178,5,19.8,2025,10,Kuwait,Japan,177,178,completed,1478.836658,1597.891358,-119.0546996,0.2,0.4,0.3,0.6,0.5
6297720940,10/9/2025,2025,ICC Men's T20 World Cup Asia & EAP Qualifier,TRUE,,Malaysia,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Qatar,field,Qatar,unknown,T20,Malaysia,123,9,20.7,Qatar,124,2,17.3,2025,10,Malaysia,Qatar,123,124,completed,1589.420131,1471.385888,118.0342433,0.4,0.5,0.7,0.25,0.666666667
-749873580,10/9/2025,2025,Women's Continental Cup,FALSE,,Romania,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Austria,field,Romania,unknown,T20,Romania,108,2,12.7,Austria,103,0,12.5,2025,10,Romania,Austria,108,103,completed,1552.125691,1668.379585,-116.2538944,0.7,0.6,0.55,0.75,0.5
8428277455,10/9/2025,2025,Women's Continental Cup,FALSE,,Turkey,Bulgaria,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Bulgaria,field,Turkey,unknown,T20,Turkey,143,10,26,Bulgaria,87,7,24.3,2025,10,Turkey,Bulgaria,143,87,completed,1369.30784,1287.751863,81.55597685,0.4,0.6,0.5,0.3,0.5
